รหัส,ชื่อสินค้า,หน่วยสินค้า
300111,Tester กาแฟดริปดอยช้าง คั่วเข้ม ตรา รอแยล-คอฟฟี่,ซอง
300112,Tester กาแฟดริปดอยช้าง คั่วกลาง ตรา รอแยล-คอฟฟี่,ซอง
300113,เมล็ดกาแฟคั่ว บราซิล ซานโดส 200 กรัม,ถุง
300114,เมล็ดกาแฟคั่ว โคลัมเบีย 200 กรัม,ถุง
300115,เมล็ดกาแฟคั่ว ดอยช้าง อาราบิก้า 100% 250 กรัม,ถุง
300116,เมล็ดกาแฟคั่ว อาราบิก้า 100% 250 กรัม,ถุง
300117,เมล็ดกาแฟ Royal Arabica Blend ขนาด 250 กรัม,ถุง
300118,เมล็ดกาแฟคั่ว ดอยช้าง อาราบิก้าเบลนด์ 100% ขนาด 500 กรัม,ถุง
300119,เมล็ดกาแฟคั่ว ดอยช้าง อาราบิก้าเบลนด์ 100% ขนาด 250 กรัม,ถุง
300201,เอ็มแอนด์วาย มัลเบอรี่กรีน 12 กรัม,กล่อง
300202,เอ็มแอนด์วาย เยลโล่บาเอล 10 กรัม,กล่อง
300203,เอ็มแอนด์วาย เรดโรสเซล 14 กรัม,กล่อง
300301,รอแยล-คอฟฟี่  20 กรัม (3 in 1),แพ็ค
300302,รอแยล-คอฟฟี่ 20 กรัม (3 in 1) - H,แพ็ค
300501,แคลร์ส คอฟฟี่ บูสเตอร์,กล่อง
300501-1,Clare Coffee Booster Formula,Box
300501-2,แคลร์ส คอฟฟี่ บูสเตอร์ - ใสสะอาด,กล่อง
300502,แคลร์ส คอฟฟี่ บิวตี้,กล่อง
300502-1,Clare Coffee Beauty Formula,Box
300502-2,แคลร์ส คอฟฟี่ บิวตี้ - ใสสะอาด,กล่อง
300503,Sample กาแฟ แคลร์ส คอฟฟี่ บูสเตอร์,แพ็ค
300504,Sample กาแฟ แคลร์ส คอฟฟี่ บิวตี้,แพ็ค
300505,(ไม่ใช้แล้ว)ผงชงชิม กาแฟ บูสเตอร์,แพ็ค
300506,(ไม่ใช้แล้)วผงชงชิม กาแฟ บิวตี้,แพ็ค
300507,Tester กาแฟ บูสเตอร์ ขนาด 14 กรัม,ซอง
300508,Tester กาแฟ บิวตี้ ขนาด 14 กรัม,ซอง
300509,ชุดกิฟเซ็ท แคลร์ส คอฟฟี่ บูสเตอร์,ชุด
300510,ชุดกิฟเซ็ท แคลร์ส คอฟฟี่ บิวตี้,ชุด
300511,Tester แคลร์ คอฟฟี่ พรีไบโอ 14 กรัม,ซอง
300512,Tester แคลร์ส คอฟฟี่ คาปูชิโน,ซอง
300513,แคลร์ เบอร์รี่(ทดลอง)  ขนาด 12 กรัม,ซอง
300514,ผงชงชิม แคลร์ คอฟฟี่ พรีไบโอ 500 กรัม(ไม่ใช่),แพ็ค
300515,แคลร์ คอฟฟี่ คาปูชิโน 250 กรัม,แพ็ค
300516,แคลร์ส ช็อกโก 14 กรัม,ซอง
300517,แคลร์ คอฟฟี่ พรีไบโอ 14 กรัม,กล่อง
300517-1,แคลร์ คอฟฟี่ พรีไบโอ 14 กรัม(ลัง),ลัง
300517-2,แคลร์ คอฟฟี่ พรีไบโอ 14 กรัม(หีบ),หีบ
300517-3,Clare Coffee Prebio Formula,Box
300517-4,แคลร์ คอฟฟี่ พรีไบโอ 14 กรัม - ใสสะอาด,กล่อง
300518,แคลร์ส คอฟฟี่ คาปูชิโน 14 กรัม,กล่อง
300519,แคล์ร คอลลาเจน (ชนิด15 ซอง ),กล่อง
300520,ผงชงชิมแคล์รคอลลาเจน 250 กรัม,แพ็ค
300521,แคลร์ คอฟฟี่ คาปูชิโน กลิ่นไอรีซครีม 14 กรัม,กล่อง
300522,แคลร์ คอฟฟี่ คาปูชิโน กลิ่นฮาเซลนัท 14 กรัม,กล่อง
300523,Tester แคล์ร คอลลาเจน,ซอง
300524,Tester แคลร์คอฟฟี่ คาปูชิโน กลิ่นไอริชครีม,ซอง
300525,Tester แคลร์คอฟฟี่คาปูชิโน่ กลิ่นฮาเซลนัท,ซอง
300526,แคล์ร คอลลาเจน (ชนิด 10 ซอง),กล่อง
300526-1,แคล์ร คอลลาเจน (ชนิด 10 ซอง),ซอง
300527,แคลร์ คอลลาเจน (ชนิด 10 ซอง),หีบ
300528,เครื่องดื่มมะเขือเทศชนิดผง ตราแคล์ร โทลาเจน,กล่อง
300529,กาแฟปรุงสำเร็จ เฟิร์สรอแยล ไวท์คอฟฟี่ 30g.,ถุง
300530,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์ 10,กล่อง
300530-1,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์ 10 (หีบ),หีบ
300530-2,Arabica Coffee Pack 10 Sack/Box,Box
300530-3,Arabica Coffee Pack 27 Sack/Pack,Pack
300530-4,Arabica Coffee Pack 05 Sack/Bag,Bag
300531,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์ 05,ถุง
300531-1,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์ 05 (รุ่น48ถุง),ถุง
300532,ผงชงชิม อาราบิก้าโรบัสต้าเบลนด์  250 กรัม,แพ็ค
300533,Tester รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์,ซอง
300533-1,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์ (30 ซอง),แพ็ค
300533-2,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์,ซอง
300534,รอแยล-คอฟฟี่ อาราบิก้าโรบัสต้าเบลนด์(รุ่น27ซอง),แพ็ค
